  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      93	 17:43:19	   0.002	   0.000	  106.76	 1025.66	   15.18	   385.3	  -315.3	   -37.5	   127.0	   305.4	   203.9	 242.979	   1.239	   249.1	    20.0	  228989	   41.60	   41.60	    0.01	    0.02	    0.00	  17.045	  17.251	  35.704	  33.750	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      94	 17:43:47	   0.002	   0.000	  106.90	 1025.66	   15.17	   351.1	  -306.6	   -32.0	   129.3	   281.6	   193.7	 242.985	   1.239	   249.4	    20.1	  229151	   45.00	   41.60	    0.35	    0.04	    0.00	  16.975	  17.183	  39.592	  33.737	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      95	 17:44:14	   0.002	   0.000	  106.39	 1025.65	   15.14	   292.5	  -292.3	   -23.3	   134.4	   241.2	   178.1	 241.978	   1.239	   248.2	    20.0	  228624	   50.00	   41.60	    0.71	    0.02	    0.00	  16.928	  17.152	  37.152	  33.787	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      96	 17:44:55	   0.002	   0.000	  106.48	 1025.66	   15.12	   237.6	  -281.1	   -15.7	   140.2	   201.6	   163.1	 241.985	   1.239	   248.4	    20.0	  228742	   55.00	   41.60	    1.01	    0.04	    0.00	  16.850	  17.130	  41.605	  33.780	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      97	 17:45:18	   0.002	   0.000	  106.63	 1025.66	   15.12	   161.2	  -260.1	    -3.5	   147.2	   147.3	   139.5	 241.965	   1.239	   248.8	    20.0	  228911	   60.00	   41.60	    1.58	    0.02	    0.00	  16.812	  17.150	  40.761	  33.772	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      98	 17:45:42	   0.002	   0.000	  106.83	 1025.66	   15.12	    65.5	  -239.7	    12.2	   159.1	    76.0	   112.8	 241.988	   1.239	   249.2	    20.1	  229118	   65.00	   41.61	    2.35	    0.11	    0.00	  16.773	  17.212	  39.620	  33.776	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      99	 17:46:08	   0.002	   0.000	  106.98	 1025.66	   15.10	   -16.6	  -222.3	    25.5	   171.7	    13.1	    92.2	 241.969	   1.240	   249.6	    20.1	  229306	   70.00	   41.59	    3.14	    0.03	    0.00	  16.733	  17.327	  38.132	  33.756	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     100	 17:46:31	   0.002	   0.000	  107.13	 1025.65	   15.10	   -95.7	  -203.0	    38.5	   181.6	   -46.6	    69.7	 241.996	   1.240	   249.9	    20.1	  229468	   75.00	   41.60	    3.62	    0.01	    0.00	  16.696	  17.471	  41.130	  33.758	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     101	 17:47:18	   0.002	   0.000	  107.11	 1025.65	   15.06	  -170.7	  -185.4	    50.5	   189.8	  -103.9	    48.1	 241.453	   1.240	   249.9	    20.1	  229483	   80.00	   41.59	    5.02	    0.11	    0.00	  16.624	  17.923	  35.904	  33.763	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     102	 17:47:42	   0.002	   0.000	  106.51	 1025.65	   15.05	  -239.8	  -168.7	    61.5	   196.4	  -153.0	    29.8	 240.936	   1.240	   248.5	    20.0	  228852	   85.00	   41.60	    5.69	    0.15	    0.00	  16.602	  18.194	  38.422	  33.822	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     103	 17:48:06	   0.002	   0.000	  106.65	 1025.65	   15.04	  -308.3	  -154.6	    71.8	   204.9	  -202.4	    12.0	 240.994	   1.240	   248.8	    20.0	  229013	   90.00	   41.60	    6.38	    0.16	    0.00	  16.588	  18.524	  40.957	  33.820	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     104	 17:48:40	   0.002	   0.000	  106.82	 1025.64	   15.04	  -385.3	  -135.2	    86.0	   212.9	  -259.0	   -11.6	 240.958	   1.240	   249.2	    20.0	  229190	   95.00	   41.60	    7.74	    0.08	    0.00	  16.561	  19.105	  39.970	  33.801	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     105	 17:49:06	   0.002	   0.000	  106.97	 1025.64	   15.03	  -471.7	  -112.3	   100.5	   222.1	  -323.1	   -37.5	 240.989	   1.240	   249.5	    20.1	  229360	  100.00	   41.60	    9.37	    0.06	    0.00	  16.536	  19.655	  39.058	  33.801	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     106	 17:49:31	   0.002	   0.000	  105.86	 1025.63	   15.02	  -571.0	   -85.8	   116.9	   231.8	  -397.7	   -65.8	 239.976	   1.240	   247.0	    20.0	  228179	  105.00	   41.60	   10.43	    0.20	    0.00	  16.506	  20.272	  41.210	  33.890	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
     107	 17:49:58	   0.002	   0.000	  106.08	 1025.62	   15.02	  -668.9	   -62.0	   133.0	   243.0	  -470.8	   -94.7	 239.982	   1.240	   247.5	    20.0	  228417	  109.99	   41.60	   12.35	    0.19	    0.00	  16.490	  21.060	  40.610	  33.887	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
