  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
      47	 16:52:12	   0.002	  -9.995	  105.99	 1025.89	   14.80	   439.6	   601.3	   300.8	  -156.2	   252.7	  -237.5	 243.986	   1.241	   247.3	    20.0	  228564	   41.60	   41.60	    0.20	    0.25	    0.00	  16.726	  16.341	  39.217	  37.332	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      48	 16:53:17	   0.002	   2.000	  106.74	 1025.90	   14.79	   373.0	  -599.9	  -102.8	   197.9	   296.5	   393.3	 242.955	   1.241	   249.0	    20.0	  229392	   41.60	   41.60	    0.04	    0.02	    0.00	  16.560	  16.246	  39.000	  36.696	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      49	 16:53:59	   0.002	  -6.995	  106.36	 1025.91	   14.78	   464.2	   251.7	   173.5	   -53.7	   293.3	   -74.1	 244.001	   1.241	   248.1	    20.0	  228989	   41.60	   41.60	    0.13	    0.21	    0.00	  16.484	  16.219	  38.997	  37.135	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      50	 16:55:01	   0.002	  10.000	  105.91	 1025.91	   14.74	   396.7	 -1220.3	  -318.4	   448.5	   265.8	   685.0	 243.990	   1.241	   247.1	    20.0	  228538	   41.60	   41.60	    0.24	    0.20	    0.00	  16.409	  16.196	  39.437	  37.124	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      51	 16:55:27	   0.002	   7.000	  106.36	 1025.92	   14.74	   423.7	  -822.4	  -200.4	   312.8	   296.5	   490.9	 243.973	   1.241	   248.1	    20.0	  229026	   41.61	   41.60	    0.20	    0.12	    0.00	  16.382	  16.190	  39.154	  36.907	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      52	 16:56:12	   0.002	  -1.995	  106.58	 1025.91	   14.73	   385.1	    22.6	    57.8	    41.2	   293.6	    16.1	 242.978	   1.241	   248.6	    20.0	  229283	   41.60	   41.60	    0.00	    0.09	    0.00	  16.318	  16.171	  38.904	  36.913	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      53	 16:57:05	   0.002	   9.995	  106.12	 1025.92	   14.71	   325.6	 -1252.8	  -304.5	   468.4	   196.4	   715.0	 243.997	   1.242	   247.6	    20.0	  228800	   41.60	   49.12	    0.24	    0.60	    0.00	  16.314	  16.151	  39.431	  40.855	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      54	 16:57:56	   0.002	  -6.995	  106.46	 1025.91	   14.69	   391.7	   227.9	   185.2	   -36.5	   230.6	   -48.4	 243.983	   1.242	   248.4	    20.0	  229187	   41.60	   49.12	    0.11	    0.60	    0.00	  16.311	  16.141	  38.961	  40.960	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      55	 16:58:23	   0.002	 -10.000	  106.02	 1025.91	   14.68	   370.8	   589.1	   315.3	  -143.3	   191.4	  -219.7	 244.017	   1.242	   247.3	    20.0	  228728	   41.60	   49.12	    0.20	    0.62	    0.00	  16.310	  16.141	  39.155	  41.082	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      56	 16:59:15	   0.002	   7.005	  106.64	 1025.90	   14.68	   208.7	 -1453.8	  -296.1	   470.7	   153.6	   867.5	 244.004	   1.242	   248.8	    20.0	  229395	   41.59	   49.12	    0.21	    0.58	    0.00	  16.353	  16.142	  39.147	  40.763	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      57	 16:59:56	   0.002	   2.000	  106.89	 1025.90	   14.68	   299.9	  -622.8	   -87.4	   216.4	   225.2	   417.1	 242.964	   1.242	   249.4	    20.0	  229660	   41.60	   49.12	    0.13	    0.58	    0.00	  16.359	  16.136	  38.935	  40.773	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      58	 17:00:27	   0.002	  -1.995	  106.75	 1025.89	   14.66	   309.2	    -6.3	    71.2	    58.4	   227.1	    45.6	 242.981	   1.242	   249.0	    20.0	  229524	   41.60	   49.12	    0.01	    0.59	    0.00	  16.365	  16.133	  38.863	  40.860	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      59	 17:03:21	   4.999	   6.995	  423.04	 1025.86	   15.23	  1108.6	 -5089.3	    -8.6	  2610.2	   375.6	  2970.4	 474.014	   1.239	   991.6	    40.0	  456835	   78.50	   98.24	    0.53	    5.32	    0.00	  17.424	  16.691	  36.592	  36.185	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      60	 17:04:28	   0.002	  -9.995	  424.09	 1025.85	   15.32	   531.4	  5029.4	  1967.4	 -1022.0	   193.7	 -2382.2	 473.982	   1.239	   994.0	    40.1	  457215	   78.49	   98.24	    0.39	    5.77	    0.00	  17.916	  16.883	  36.253	  36.494	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      61	 17:05:19	   0.002	  -2.005	  422.63	 1025.84	   15.40	  1143.8	    59.5	   318.4	   219.3	   816.3	   126.9	 469.958	   1.239	   990.6	    40.0	  456268	   78.49	   98.24	    0.00	    5.42	    0.00	  18.314	  17.027	  30.197	  36.208	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      62	 17:06:05	   4.999	  -7.000	  423.03	 1025.82	   15.42	  1199.7	  2933.4	  2203.2	   454.7	   354.6	 -1268.3	 473.994	   1.238	   991.5	    40.0	  456439	   78.51	   98.24	    0.00	    5.71	    0.00	  18.572	  17.134	  30.139	  36.389	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      63	 17:07:02	   0.001	   2.000	  422.71	 1025.81	   15.44	  1123.8	 -2353.6	  -316.3	   847.3	   805.2	  1575.5	 469.972	   1.238	   990.8	    40.0	  456222	   78.48	   98.24	    0.00	    5.34	    0.00	  18.843	  17.240	  30.459	  36.102	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      64	 17:07:47	   0.001	  10.000	  422.50	 1025.81	   15.54	   534.3	 -7068.1	 -1543.0	  2392.9	   282.3	  3976.2	 473.059	   1.238	   990.3	    40.0	  455910	   78.49	   98.24	    0.72	    5.35	    0.00	  19.006	  17.315	  36.957	  36.114	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      65	 17:08:40	   0.001	  -7.000	  422.15	 1025.80	   15.58	   843.3	  3403.9	  1370.0	  -598.4	   485.4	 -1598.9	 471.929	   1.238	   989.5	    40.0	  455638	   78.07	   98.24	    0.00	    5.61	    0.00	  19.114	  17.391	  33.030	  36.272	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
