  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      93	   0.002	   0.000	  0.2297	0.057565	 0.03187	 0.04729	0.057557	  0.2297	0.031871	 0.01202	-0.01013	-0.01650	0.057565	-0.031871	0.229666	 0.00683	-0.01950	-0.01650	    3.82	   -1.83	   13.72	    0.55	   -0.04	   -1.33	  106.76	 1025.66	   15.18	   1.239	   249.1	   20.05	1.779E+5	   0.059
      94	   0.002	   0.000	  0.2276	0.052029	 0.03157	 0.04824	0.052021	  0.2276	0.031572	 0.01153	-0.00866	-0.01567	0.052029	-0.031572	0.227577	 0.00639	-0.01712	-0.01567	    3.51	   -1.82	   13.62	    0.52	   -0.01	   -1.26	  106.90	 1025.66	   15.17	   1.239	   249.4	   20.06	1.780E+5	   0.059
      95	   0.002	   0.000	  0.2261	0.042914	 0.03112	 0.05096	0.042906	  0.2261	0.031124	 0.01121	-0.00556	-0.01447	0.042914	-0.031124	0.226075	 0.00614	-0.01254	-0.01447	    2.97	   -1.78	   13.47	    0.49	    0.03	   -1.16	  106.39	 1025.65	   15.14	   1.239	   248.2	   20.01	1.776E+5	   0.059
      96	   0.002	   0.000	  0.2232	0.034070	 0.03122	 0.05081	0.034062	  0.2232	0.031219	 0.01079	-0.00500	-0.01324	0.034070	-0.031219	0.223216	 0.00571	-0.01054	-0.01324	    2.46	   -1.79	   13.31	    0.46	    0.05	   -1.06	  106.48	 1025.66	   15.12	   1.239	   248.4	   20.02	1.777E+5	   0.059
      97	   0.002	   0.000	  0.2201	0.021783	 0.03041	 0.05172	0.021775	  0.2201	0.030415	 0.01021	-0.00331	-0.01131	0.021783	-0.030415	0.220115	 0.00526	-0.00685	-0.01131	    1.76	   -1.75	   13.16	    0.42	    0.08	   -0.91	  106.63	 1025.66	   15.12	   1.239	   248.8	   20.03	1.779E+5	   0.059
      98	   0.002	   0.000	  0.2187	0.006429	 0.03041	 0.04907	0.006421	  0.2187	0.030413	 0.00943	-0.00560	-0.00914	0.006429	-0.030413	0.218694	 0.00448	-0.00665	-0.00914	    0.88	   -1.75	   13.10	    0.36	    0.09	   -0.74	  106.83	 1025.66	   15.12	   1.239	   249.2	   20.05	1.780E+5	   0.059
      99	   0.002	   0.000	  0.2191	-0.006696	 0.02995	 0.04492	-0.006703	  0.2191	0.029946	 0.00954	-0.00985	-0.00747	-0.006696	-0.029946	0.219066	 0.00467	-0.00876	-0.00747	    0.12	   -1.73	   13.14	    0.38	    0.07	   -0.60	  106.98	 1025.66	   15.10	   1.240	   249.6	   20.07	1.782E+5	   0.059
     100	   0.002	   0.000	  0.2177	-0.019298	 0.02938	 0.04162	-0.019305	  0.2177	0.029380	 0.00924	-0.01280	-0.00564	-0.019298	-0.029380	0.217692	 0.00446	-0.00966	-0.00565	   -0.60	   -1.70	   13.08	    0.36	    0.06	   -0.46	  107.13	 1025.65	   15.10	   1.240	   249.9	   20.08	1.783E+5	   0.059
     101	   0.002	   0.000	  0.2148	-0.031260	 0.02914	 0.03724	-0.031268	  0.2147	0.029141	 0.00865	-0.01644	-0.00390	-0.031260	-0.029141	0.214750	 0.00390	-0.01136	-0.00391	   -1.29	   -1.68	   12.91	    0.32	    0.04	   -0.32	  107.11	 1025.65	   15.06	   1.240	   249.9	   20.08	1.783E+5	   0.059
