  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	   0.003	 -10.000	  0.2756	0.093301	-0.16294	-0.08843	0.063576	  0.2756	-0.176666	-0.03070	-0.15732	 0.03982	0.063590	0.176666	0.275569	-0.00195	-0.16767	 0.03982	    4.19	   10.21	   16.44	   -0.16	   -1.45	    3.22	  107.28	 1025.82	   13.98	   1.245	   250.3	   20.05	1.793E+5	   0.059
       2	   0.003	   1.995	  0.2374	0.054814	 0.02645	 0.04118	0.053848	  0.2374	0.028344	 0.00669	-0.01817	-0.01411	0.053860	-0.028344	0.237392	 0.00207	-0.02693	-0.01411	    3.62	   -1.64	   14.22	    0.17	   -0.11	   -1.14	  107.19	 1025.85	   13.98	   1.245	   250.1	   20.05	1.792E+5	   0.059
       3	   0.003	  -7.000	  0.2673	0.079982	-0.10311	-0.05715	0.066806	  0.2673	-0.112093	-0.02027	-0.12398	 0.02557	0.066820	0.112093	0.267327	-0.00204	-0.13486	 0.02558	    4.34	    6.44	   15.86	   -0.16	   -1.13	    2.06	  106.56	 1025.86	   13.98	   1.245	   248.6	   19.99	1.787E+5	   0.059
       4	   0.003	   9.995	  0.2612	0.082797	 0.13260	-0.01273	0.058513	  0.2612	0.144954	 0.03706	-0.07802	-0.04047	0.058526	-0.144954	0.261180	 0.01348	-0.08755	-0.04048	    3.86	   -8.30	   15.47	    1.08	   -0.68	   -3.25	  106.30	 1025.85	   14.01	   1.244	   248.0	   19.96	1.785E+5	   0.059
       5	   0.003	   7.005	  0.2550	0.071013	 0.06599	 0.00343	0.062423	  0.2550	0.074153	 0.02587	-0.06031	-0.02387	0.062436	-0.074153	0.254960	 0.01381	-0.07046	-0.02387	    4.10	   -4.26	   15.17	    1.11	   -0.52	   -1.92	  106.68	 1025.85	   14.02	   1.244	   248.9	   20.00	1.788E+5	   0.059
       6	   0.003	  -1.995	  0.2432	0.056891	-0.06132	 0.01959	0.054710	  0.2432	-0.063264	-0.00303	-0.04120	 0.01635	0.054722	0.063264	0.243152	 0.00727	-0.05010	 0.01635	    3.66	    3.65	   14.52	    0.59	   -0.33	    1.32	  106.94	 1025.85	   14.00	   1.245	   249.5	   20.02	1.790E+5	   0.059
       7	   0.003	   9.995	  0.2671	0.071646	 0.13636	-0.03628	0.046878	  0.2671	0.146727	 0.03697	-0.10304	-0.04273	0.046892	-0.146727	0.267054	 0.01309	-0.11067	-0.04274	    3.20	   -8.41	   15.82	    1.05	   -0.90	   -3.43	  106.38	 1025.86	   14.02	   1.244	   248.2	   19.97	1.785E+5	   0.059
       8	   0.003	  -7.000	  0.2686	0.067843	-0.10578	-0.06920	0.054433	  0.2686	-0.113255	-0.01949	-0.13634	 0.02421	0.054447	0.113255	0.268561	-0.00107	-0.14520	 0.02421	    3.64	    6.51	   15.94	   -0.09	   -1.23	    1.95	  106.64	 1025.86	   14.02	   1.244	   248.8	   20.00	1.788E+5	   0.059
       9	   0.003	 -10.005	  0.2778	0.082362	-0.16435	-0.10310	0.052542	  0.2778	-0.176164	-0.03073	-0.17255	 0.03811	0.052556	0.176164	0.277765	-0.00207	-0.18110	 0.03811	    3.55	   10.18	   16.57	   -0.17	   -1.58	    3.08	  107.27	 1025.86	   14.02	   1.244	   250.3	   20.05	1.793E+5	   0.059
      10	   0.003	   7.000	  0.2597	0.048751	 0.16365	 0.02127	0.028430	  0.2597	0.168372	 0.02130	-0.04365	-0.05460	0.028443	-0.168372	0.259689	-0.00609	-0.04828	-0.05460	    2.15	   -9.70	   15.48	   -0.49	   -0.31	   -4.41	  106.95	 1025.85	   14.02	   1.244	   249.5	   20.02	1.790E+5	   0.059
      11	   0.003	   2.000	  0.2422	0.043088	 0.02848	 0.01657	0.042056	  0.2422	0.029970	 0.00671	-0.04398	-0.01629	0.042068	-0.029970	0.242194	 0.00184	-0.05082	-0.01629	    2.94	   -1.73	   14.50	    0.15	   -0.33	   -1.32	  107.18	 1025.84	   14.04	   1.244	   250.0	   20.05	1.792E+5	   0.059
      12	   0.003	  -1.995	  0.2448	0.044599	-0.05969	 0.00533	0.042481	  0.2448	-0.061209	-0.00324	-0.05588	 0.01380	0.042494	0.061209	0.244847	 0.00672	-0.06279	 0.01380	    2.96	    3.53	   14.64	    0.54	   -0.45	    1.11	  107.07	 1025.84	   14.03	   1.244	   249.8	   20.04	1.791E+5	   0.059
      13	   4.998	   6.995	  0.7225	0.056329	 0.15263	 0.02628	-0.025772	  0.7230	0.158352	 0.01438	-0.15448	-0.04360	0.037322	-0.158352	0.722538	-0.01527	-0.16056	-0.04502	   10.29	  -36.36	  168.74	   -4.91	   -5.67	  -14.47	  424.09	 1025.81	   14.69	   1.242	   994.0	   40.02	3.562E+5	   0.118
      14	   0.001	  -9.995	  0.2732	0.056103	-0.25952	-0.04339	0.010206	  0.2732	-0.265316	-0.02908	-0.11169	 0.06566	0.010209	0.265316	0.273196	 0.01408	-0.11335	 0.06566	    4.38	   61.04	   64.89	    4.54	   -3.71	   21.15	  424.92	 1025.82	   14.80	   1.241	   996.0	   40.06	3.564E+5	   0.118
      15	   0.001	  -2.005	  0.2301	0.038080	-0.05213	 0.01516	0.036230	  0.2301	-0.053435	-0.00725	-0.04237	 0.01409	0.036233	0.053435	0.230101	 0.00144	-0.04826	 0.01409	   10.34	   12.26	   54.80	    0.46	   -1.23	    4.52	  423.61	 1025.82	   14.89	   1.241	   992.9	   40.01	3.557E+5	   0.118
      16	   4.999	  -7.000	  0.7365	0.059296	-0.16433	-0.01146	-0.025503	  0.7371	-0.170332	-0.01890	-0.19574	 0.03920	0.038827	0.170332	0.736541	 0.01233	-0.20206	 0.04101	   10.62	   39.06	  171.74	    3.96	   -7.24	   13.17	  423.56	 1025.81	   14.96	   1.240	   992.8	   40.01	3.556E+5	   0.118
