  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 15:39:42	   0.003	  -9.995	 1025.78	   14.16	     2.3	    -0.5	     0.0	     0.0	     0.0	     1.0
       0	 15:41:05	   0.003	  -9.995	 1025.78	   14.16	     1.4	     0.8	     0.0	     0.0	     0.0	     0.0
       0	 15:42:33	   0.003	  -7.005	 1025.79	   14.16	   -11.4	   -22.1	    -2.0	     4.1	    -1.2	    15.7
       0	 15:43:01	   0.003	  -1.995	 1025.79	   14.16	   -29.0	   -35.5	    -3.8	     7.4	    -2.0	    29.1
       0	 15:43:28	   0.003	   2.000	 1025.79	   14.16	   -29.8	   -42.8	    -5.1	     8.3	    -1.9	    37.8
       0	 15:44:21	   0.003	   7.005	 1025.79	   14.16	   -30.1	   -40.7	    -8.1	     9.5	     2.0	    43.0
       0	 15:44:54	   0.003	  10.000	 1025.78	   14.16	   -23.6	   -40.9	   -10.7	    10.2	     6.0	    44.5
       0	 15:46:06	   5.000	  -7.005	 1025.78	   14.16	   -15.1	   -24.1	    -0.6	     7.1	    -5.0	    16.4
       0	 15:46:55	   5.000	   6.995	 1025.77	   14.16	   -36.6	   -44.3	    -7.2	    12.2	     1.5	    44.2
